                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                0.57859,                0.27653,                 0.8245,                0.98412,                0.97671,                0.99224,                 0.8473,                0.45359,                0.21094,                0.87994,              0.0048916,              0.0048916,              0.0048916
                    131,                0.57291,                0.27476,                0.82601,                0.98383,                0.97693,                0.99222,                0.84702,                0.45425,                0.21069,                0.88003,               0.004852,               0.004852,               0.004852
                    132,                0.58316,                0.27911,                0.82391,                0.98498,                 0.9759,                0.99218,                0.84684,                0.45454,                0.21096,                0.87964,              0.0048124,              0.0048124,              0.0048124
                    133,                0.57848,                0.27598,                 0.8248,                0.98428,                0.97684,                 0.9923,                0.84683,                0.45449,                0.21061,                 0.8795,              0.0047728,              0.0047728,              0.0047728
                    134,                0.58095,                0.27759,                 0.8235,                0.98458,                0.97658,                0.99232,                0.84586,                0.45535,                0.21006,                0.87988,              0.0047332,              0.0047332,              0.0047332
                    135,                0.57609,                0.27624,                0.82451,                0.98418,                0.97696,                0.99238,                0.84644,                0.45493,                0.21009,                0.87969,              0.0046936,              0.0046936,              0.0046936
                    136,                0.57901,                0.27645,                0.82339,                0.98428,                0.97687,                0.99238,                0.84639,                0.45475,                0.20983,                0.87998,               0.004654,               0.004654,               0.004654
                    137,                0.57898,                0.27614,                 0.8239,                0.98468,                 0.9765,                0.99236,                0.84677,                0.45457,                0.20963,                0.88033,              0.0046144,              0.0046144,              0.0046144
                    138,                0.57432,                0.27467,                0.82369,                0.98443,                0.97695,                0.99242,                 0.8469,                0.45426,                 0.2097,                0.88064,              0.0045748,              0.0045748,              0.0045748
                    139,                0.57199,                0.27414,                 0.8241,                0.98323,                0.97798,                0.99235,                0.84665,                0.45434,                0.20946,                0.88086,              0.0045352,              0.0045352,              0.0045352
                    140,                 0.5699,                0.27233,                0.82495,                0.98413,                0.97681,                0.99233,                0.84682,                0.45447,                 0.2095,                0.88119,              0.0044956,              0.0044956,              0.0044956
                    141,                0.57352,                0.27394,                0.82331,                0.98392,                0.97679,                0.99233,                0.84664,                0.45489,                0.20963,                0.88147,               0.004456,               0.004456,               0.004456
                    142,                0.57447,                0.27497,                0.82402,                0.98318,                0.97817,                0.99239,                0.84694,                0.45497,                0.20923,                0.88178,              0.0044164,              0.0044164,              0.0044164
                    143,                0.57343,                0.27345,                0.82086,                0.98297,                0.97827,                0.99235,                0.84663,                0.45515,                0.20955,                0.88179,              0.0043768,              0.0043768,              0.0043768
                    144,                0.56834,                0.27156,                0.82241,                0.98298,                0.97844,                0.99233,                 0.8462,                0.45543,                0.20995,                0.88186,              0.0043372,              0.0043372,              0.0043372
                    145,                 0.5685,                0.27302,                 0.8224,                0.98253,                0.97864,                0.99235,                0.84612,                0.45552,                0.20961,                0.88189,              0.0042976,              0.0042976,              0.0042976
                    146,                0.56646,                0.27147,                0.82245,                0.98244,                 0.9792,                0.99227,                0.84599,                0.45566,                0.20983,                0.88177,               0.004258,               0.004258,               0.004258
                    147,                0.56544,                0.27094,                0.82159,                0.98211,                0.97956,                0.99229,                0.84698,                0.45463,                0.20943,                 0.8817,              0.0042184,              0.0042184,              0.0042184
                    148,                0.56192,                0.26882,                0.82341,                 0.9824,                0.97994,                0.99228,                0.84647,                 0.4552,                0.20942,                0.88193,              0.0041788,              0.0041788,              0.0041788
                    149,                0.56117,                0.26829,                0.82204,                 0.9824,                0.97986,                0.99225,                 0.8466,                0.45505,                0.20939,                 0.8822,              0.0041392,              0.0041392,              0.0041392
                    150,                0.56385,                0.26937,                0.82172,                0.98237,                0.97982,                0.99231,                0.84711,                 0.4546,                0.20954,                0.88231,              0.0040996,              0.0040996,              0.0040996
                    151,                0.56529,                0.27076,                0.82101,                0.98229,                0.97969,                0.99231,                0.84702,                0.45452,                0.20946,                 0.8823,                0.00406,                0.00406,                0.00406
                    152,                0.56218,                0.26858,                0.82331,                0.98344,                0.97842,                0.99237,                0.84703,                0.45457,                0.20961,                0.88251,              0.0040204,              0.0040204,              0.0040204
                    153,                0.56256,                0.26824,                0.82203,                0.98344,                0.97848,                0.99232,                0.84717,                0.45468,                0.20965,                0.88261,              0.0039808,              0.0039808,              0.0039808
                    154,                0.56394,                0.26895,                0.82234,                0.98284,                0.97916,                0.99222,                0.84727,                0.45411,                0.20928,                0.88257,              0.0039412,              0.0039412,              0.0039412
                    155,                0.55659,                0.26599,                0.82116,                0.98229,                0.97944,                0.99226,                0.84759,                0.45353,                0.20964,                0.88255,              0.0039016,              0.0039016,              0.0039016
                    156,                0.55853,                0.26664,                0.82118,                0.98274,                0.97904,                0.99229,                 0.8479,                0.45332,                0.20993,                0.88247,               0.003862,               0.003862,               0.003862
